scenario,time_s,com_mps,max_linear_mps,max_angular_radps,pelvis_y,head_y,settled
A_bodycheck_mars_comic,6.100,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,6.200,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,6.300,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,6.400,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,6.500,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,6.600,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,6.700,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,6.800,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,6.900,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.000,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.100,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.200,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.300,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.400,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.500,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.600,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.700,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.800,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,7.900,0.0000,0.0000,0.0000,0.0982,0.3394,1
A_bodycheck_mars_comic,8.000,0.0000,0.0000,0.0000,0.0982,0.3394,1
B_headflick_mars_comic,0.000,0.0000,0.0000,0.0000,0.1950,0.8775,0
B_headflick_mars_comic,0.100,0.3795,1.8714,4.1514,0.2058,0.8759,0
B_headflick_mars_comic,0.200,0.5966,1.9851,3.9510,0.1928,0.8413,0
B_headflick_mars_comic,0.300,0.9119,2.2296,3.4923,0.1565,0.7647,0
B_headflick_mars_comic,0.400,0.9411,2.4294,5.1848,0.1061,0.6435,0
B_headflick_mars_comic,0.500,1.0977,2.7208,17.5603,0.0597,0.4545,0
B_headflick_mars_comic,0.600,0.5601,2.1031,46.4108,0.0533,0.3929,0
B_headflick_mars_comic,0.700,0.6873,2.0332,10.5513,0.1558,0.4644,0
B_headflick_mars_comic,0.800,0.3798,1.2583,6.4702,0.2245,0.4982,0
B_headflick_mars_comic,0.900,0.3023,1.2287,4.8470,0.2544,0.4713,0
B_headflick_mars_comic,1.000,0.2426,0.8615,5.3377,0.2394,0.4697,0
B_headflick_mars_comic,1.100,0.2157,0.5627,4.3392,0.1704,0.4562,0
B_headflick_mars_comic,1.200,0.1917,0.8270,6.9506,0.1004,0.4457,0
B_headflick_mars_comic,1.300,0.2964,1.3983,9.7246,0.0664,0.4362,0
B_headflick_mars_comic,1.400,0.1264,0.5863,7.4770,0.0490,0.4358,0
B_headflick_mars_comic,1.500,0.0923,0.7592,6.7869,0.0427,0.4367,0
B_headflick_mars_comic,1.600,0.0545,0.7424,6.6152,0.0360,0.4395,0
B_headflick_mars_comic,1.700,0.0695,0.6268,1.9312,0.0262,0.4392,0
B_headflick_mars_comic,1.800,0.0545,0.4882,2.2650,0.0280,0.4379,0
B_headflick_mars_comic,1.900,0.0375,0.2890,2.1728,0.0284,0.4363,0
B_headflick_mars_comic,2.000,0.0310,0.1061,1.4550,0.0278,0.4346,0
B_headflick_mars_comic,2.100,0.0322,0.0929,0.7183,0.0261,0.4326,0
B_headflick_mars_comic,2.200,0.0189,0.1012,1.8433,0.0256,0.4315,0
B_headflick_mars_comic,2.300,0.0209,0.0786,0.6310,0.0246,0.4306,0
B_headflick_mars_comic,2.400,0.0253,0.0712,0.5214,0.0235,0.4294,0
B_headflick_mars_comic,2.500,0.0450,0.0985,0.4614,0.0228,0.4277,0
B_headflick_mars_comic,2.600,0.0554,0.1288,0.5953,0.0221,0.4250,0
B_headflick_mars_comic,2.700,0.0619,0.1521,0.6390,0.0209,0.4212,0
B_headflick_mars_comic,2.800,0.0755,0.1763,0.7195,0.0201,0.4167,0
B_headflick_mars_comic,2.900,0.0873,0.2214,0.8673,0.0191,0.4107,0
B_headflick_mars_comic,3.000,0.1037,0.2638,1.6350,0.0188,0.4031,0
B_headflick_mars_comic,3.100,0.1146,0.2968,2.4219,0.0204,0.3974,0
B_headflick_mars_comic,3.200,0.1167,0.3332,1.6667,0.0220,0.3914,0
B_headflick_mars_comic,3.300,0.1164,0.3554,1.4609,0.0241,0.3857,0
B_headflick_mars_comic,3.400,0.1201,0.3760,1.5358,0.0268,0.3798,0
B_headflick_mars_comic,3.500,0.1243,0.3943,1.8962,0.0303,0.3737,0
B_headflick_mars_comic,3.600,0.1323,0.4054,2.2479,0.0350,0.3683,0
B_headflick_mars_comic,3.700,0.1039,0.3895,2.9582,0.0364,0.3646,0
B_headflick_mars_comic,3.800,0.0780,0.3686,3.0140,0.0364,0.3623,0
B_headflick_mars_comic,3.900,0.0613,0.3245,1.6783,0.0365,0.3612,0
B_headflick_mars_comic,4.000,0.0421,0.2910,1.4430,0.0371,0.3599,0
B_headflick_mars_comic,4.100,0.0357,0.2413,1.2081,0.0390,0.3590,0
B_headflick_mars_comic,4.200,0.0297,0.2059,1.3995,0.0414,0.3587,0
B_headflick_mars_comic,4.300,0.0299,0.1773,1.2767,0.0429,0.3592,0
B_headflick_mars_comic,4.400,0.0441,0.1462,1.9298,0.0445,0.3600,0
B_headflick_mars_comic,4.500,0.0468,0.1547,1.2635,0.0468,0.3606,0
B_headflick_mars_comic,4.600,0.0423,0.1176,1.5075,0.0499,0.3604,0
B_headflick_mars_comic,4.700,0.0506,0.1150,1.5170,0.0536,0.3592,0
B_headflick_mars_comic,4.800,0.0550,0.1029,1.0313,0.0576,0.3581,0
